model_a,model_b,split,metric,n_seeds,mean_a,mean_b,mean_delta,std_delta,t_statistic,p_value,significant_005
random_forest,mlp,random,rmse,5,0.8185853968596699,0.8265445737085398,-0.007959176848869954,0.0017646666222697449,-10.085338643808335,0.0005438100496473316,True
random_forest,mlp,random,r2,5,0.5869113715487055,0.5788377315207358,0.008073640027969686,0.0017983277574756618,10.038886322783041,0.0005536210702901114,True
random_forest,mlp,random,pearson_r,5,0.7687689187091343,0.7625676114909252,0.006201307218209107,0.0011733672112473966,11.817736473592337,0.0002934689366890561,True
random_forest,mlp,scaffold,rmse,5,0.9194098592005033,0.9012385252364679,0.018171333964035717,0.002962639206456193,13.714912668707166,0.0001637349299605796,True
random_forest,mlp,scaffold,r2,5,0.4774889283044934,0.4979343638312689,-0.020445435526775448,0.0033009401383691157,-13.849806949254935,0.00015755461288951495,True
random_forest,mlp,scaffold,pearson_r,5,0.7121685725226911,0.7073620995792227,0.004806472943468543,0.002059220859790394,5.219255711455426,0.006430743189898154,True
random_forest,mlp,target,rmse,5,1.0664563901138226,1.1047443397347012,-0.03828794962087869,0.012532667386809773,-6.831303778274568,0.0024016440627620582,True
random_forest,mlp,target,r2,5,0.266668587275544,0.21299499052233023,0.053673596753213704,0.017818109241656173,6.73572090671178,0.0025313345055770296,True
random_forest,mlp,target,pearson_r,5,0.5207825306665013,0.5149401788880074,0.00584235177849386,0.011521860010625423,1.1338356578826319,0.32020955388958966,False
random_forest,esm_fp_mlp,random,rmse,5,0.8185853968596699,0.7774292411342585,0.041156155725411446,0.0018192405169805965,50.58592365089058,9.139068121951096e-07,True
random_forest,esm_fp_mlp,random,r2,5,0.5869113715487055,0.6274034719084505,-0.040492100359745,0.0017456990656170431,-51.866378770231925,8.270505168819932e-07,True
random_forest,esm_fp_mlp,random,pearson_r,5,0.7687689187091343,0.7924797157478839,-0.023710797038749454,0.0012300900677174418,-43.10168447886633,1.7322772050961837e-06,True
random_forest,esm_fp_mlp,scaffold,rmse,5,0.9194098592005033,0.9023324341428933,0.01707742505761012,0.004185453720761909,9.123570789960414,0.000800729362735922,True
random_forest,esm_fp_mlp,scaffold,r2,5,0.4774889283044934,0.4967106597177007,-0.01922173141320731,0.004671764008611788,-9.20018605519127,0.0007753725589192132,True
random_forest,esm_fp_mlp,scaffold,pearson_r,5,0.7121685725226911,0.7069677311424056,0.005200841380285493,0.004015206937090625,2.8963475727950296,0.04427986591134015,True
random_forest,esm_fp_mlp,target,rmse,5,1.0664563901138226,1.1799197323509127,-0.11346334223709018,0.014762360816571424,-17.186393785447493,6.724702343725915e-05,True
random_forest,esm_fp_mlp,target,r2,5,0.266668587275544,0.10221002382067959,0.16445856345486437,0.022496152281328938,16.34681890343763,8.197100630979448e-05,True
random_forest,esm_fp_mlp,target,pearson_r,5,0.5207825306665013,0.3877172020995573,0.133065328566944,0.019046717216516896,15.621753436125394,9.805285938741331e-05,True
mlp,esm_fp_mlp,random,rmse,5,0.8265445737085398,0.7774292411342585,0.0491153325742814,0.003219560864298388,34.1118640096081,4.40600870621682e-06,True
mlp,esm_fp_mlp,random,r2,5,0.5788377315207358,0.6274034719084505,-0.04856574038771468,0.003184165541192974,-34.10510398396263,4.409493049305689e-06,True
mlp,esm_fp_mlp,random,pearson_r,5,0.7625676114909252,0.7924797157478839,-0.02991210425695856,0.002231638439325901,-29.9714762436266,7.380783166406275e-06,True
mlp,esm_fp_mlp,scaffold,rmse,5,0.9012385252364679,0.9023324341428933,-0.0010939089064256001,0.0040165417944110415,-0.6089952006384566,0.5754191894165347,False
mlp,esm_fp_mlp,scaffold,r2,5,0.4979343638312689,0.4967106597177007,0.001223704113568136,0.00448662115510559,0.6098766728210815,0.5748896900359972,False
mlp,esm_fp_mlp,scaffold,pearson_r,5,0.7073620995792227,0.7069677311424056,0.0003943684368169498,0.004358041493345649,0.20234654356768178,0.8495208459437984,False
mlp,esm_fp_mlp,target,rmse,5,1.1047443397347012,1.1799197323509127,-0.07517539261621149,0.02357625260059794,-7.1299409186352785,0.0020459583874930776,True
mlp,esm_fp_mlp,target,r2,5,0.21299499052233023,0.10221002382067959,0.11078496670165065,0.03490470066981139,7.097116195704655,0.0020817181802782556,True
mlp,esm_fp_mlp,target,pearson_r,5,0.5149401788880074,0.3877172020995573,0.12722297678845015,0.028723359570383564,9.904106923905127,0.000583358379470816,True
mlp,gnn,random,rmse,5,0.8265445737085398,0.8277254204929102,-0.001180846784370515,0.0028280261143099903,-0.9336737265273634,0.4033285798270676,False
mlp,gnn,random,r2,5,0.5788377315207358,0.5776332832051609,0.0012044483155750018,0.0028847433752459844,0.9336110560549148,0.4033572926252189,False
mlp,gnn,random,pearson_r,5,0.7625676114909252,0.7608987972751569,0.0016688142157684327,0.002022500941738973,1.84503351828739,0.13878606128603996,False
mlp,gnn,scaffold,rmse,5,0.9012385252364679,0.9474577957434601,-0.04621927050699235,0.0062519899376099215,-16.530645723271206,7.84278455143156e-05,True
mlp,gnn,scaffold,r2,5,0.4979343638312689,0.4451089371478002,0.05282542668346872,0.00722739427099308,16.343545208090173,8.203589448114094e-05,True
mlp,gnn,scaffold,pearson_r,5,0.7073620995792227,0.6733903472452523,0.03397175233397041,0.003656446805995479,20.77512721065383,3.171742333660636e-05,True
mlp,gnn,target,rmse,5,1.1047443397347012,1.1773827424767394,-0.07263840274203814,0.03781725166539795,-4.294981765076799,0.012695949406432252,True
mlp,gnn,target,r2,5,0.21299499052233023,0.1056708491072206,0.10732414141510964,0.05687684307888586,4.219363502614544,0.013484470178791579,True
mlp,gnn,target,pearson_r,5,0.5149401788880074,0.40310435632708874,0.1118358225609187,0.03397620648317066,7.360224329037044,0.001815289514022462,True
esm_fp_mlp,fusion,random,rmse,5,0.7774292411342585,0.7912284032961777,-0.013799162161919232,0.0030187223058693465,-10.221498203594562,0.0005162704483523905,True
esm_fp_mlp,fusion,random,r2,5,0.6274034719084505,0.6140573619082131,0.013346110000237443,0.0029279997010151723,10.192217296119875,0.0005220438663112867,True
esm_fp_mlp,fusion,random,pearson_r,5,0.7924797157478839,0.7850886954834037,0.007391020264480019,0.001691314761053655,9.771583690406581,0.0006145561187001136,True
esm_fp_mlp,fusion,scaffold,rmse,5,0.9023324341428933,0.9392413498920515,-0.03690891574915815,0.009874241932942089,-8.358195510238998,0.001120347535758955,True
esm_fp_mlp,fusion,scaffold,r2,5,0.4967106597177007,0.45466743560993317,0.04204322410776755,0.011375255464989782,8.264562267420747,0.0011695764777681019,True
esm_fp_mlp,fusion,scaffold,pearson_r,5,0.7069677311424056,0.6799879305168841,0.026979800625521567,0.006917538511754973,8.721117795808592,0.0009521890010421485,True
esm_fp_mlp,fusion,target,rmse,5,1.1799197323509127,1.1955366537212635,-0.015616921370350756,0.03831952465167818,-0.9112977809823676,0.4136900424377288,False
esm_fp_mlp,fusion,target,r2,5,0.10221002382067959,0.07792579664146462,0.024284227179214968,0.05850769317501691,0.9281032938922898,0.40588744010906763,False
esm_fp_mlp,fusion,target,pearson_r,5,0.3877172020995573,0.39200982752708274,-0.004292625427525465,0.04833996951072837,-0.1985645079019084,0.8522873679421805,False
random_forest,gnn,random,rmse,5,0.8185853968596699,0.8277254204929102,-0.009140023633240468,0.0020302717460652167,-10.066491936111388,0.0005477643500665498,True
random_forest,gnn,random,r2,5,0.5869113715487055,0.5776332832051609,0.009278088343544688,0.0020722071098387943,10.011758061687328,0.0005594524660194795,True
random_forest,gnn,random,pearson_r,5,0.7687689187091343,0.7608987972751569,0.007870121433977539,0.001426443453613531,12.337065638999942,0.00024803712140669356,True
random_forest,gnn,scaffold,rmse,5,0.9194098592005033,0.9474577957434601,-0.02804793654295663,0.005479307130813527,-11.446172160336575,0.00033245138176059974,True
random_forest,gnn,scaffold,r2,5,0.4774889283044934,0.4451089371478002,0.03237999115669328,0.006407114790464832,11.30054068095686,0.00034947457075391354,True
random_forest,gnn,scaffold,pearson_r,5,0.7121685725226911,0.6733903472452523,0.038778225277438946,0.0025026232955316953,34.64794238988013,4.140316254555273e-06,True
random_forest,gnn,target,rmse,5,1.0664563901138226,1.1773827424767394,-0.11092635236291684,0.03103118124928459,-7.993213741590804,0.0013281768394672888,True
random_forest,gnn,target,r2,5,0.266668587275544,0.1056708491072206,0.16099773816832336,0.04733517485971153,7.605377773189394,0.001603983523490838,True
random_forest,gnn,target,pearson_r,5,0.5207825306665013,0.40310435632708874,0.11767817433941256,0.03282620911014766,8.016045849462826,0.0013138448533058296,True
